claim_id,policy_id,claim_date,accident_type,weather_condition,injury_involved,claim_amount,claim_report_delay_days,police_report_filed,number_of_previous_claims,fraud_label
1,3,2024-09-09,rear_end,clear,False,5172.47,2,True,0,0
2,4,2025-08-25,theft,clear,False,4762.53,4,True,0,0
3,5,2022-09-26,rear_end,storm,False,3988.04,7,True,0,0
4,5,2022-11-27,theft,clear,False,4395.25,4,True,1,0
5,8,2025-09-25,single_vehicle,clear,False,5000.66,13,False,0,0
6,10,2025-08-08,rear_end,rain,False,1265.96,8,True,0,0
7,11,2022-02-04,side_collision,clear,False,2326.51,14,True,0,0
8,13,2024-05-29,weather_related,clear,False,2514.29,10,True,0,0
9,17,2024-10-18,single_vehicle,snow,False,6657.89,45,False,0,0
10,17,2024-11-11,single_vehicle,clear,True,15135.74,18,True,1,1
11,18,2023-11-21,weather_related,rain,False,3611.79,1,True,0,0
12,19,2025-11-27,side_collision,rain,False,2820.66,12,True,0,0
13,20,2024-08-15,single_vehicle,storm,False,568.09,42,False,0,0
14,27,2024-05-01,rear_end,clear,True,9117.7,5,True,0,0
15,31,2024-02-19,single_vehicle,rain,True,3403.35,12,True,0,0
16,31,2024-11-27,weather_related,rain,False,4256.67,6,False,1,0
17,34,2024-04-22,weather_related,storm,False,292.79,9,True,0,0
18,34,2024-10-23,weather_related,clear,False,706.64,9,True,1,0
19,35,2026-02-27,theft,rain,False,4713.38,9,True,0,0
20,39,2024-08-16,theft,rain,False,5445.0,7,True,0,0
21,41,2024-01-07,rear_end,rain,False,2360.4,5,True,0,0
22,43,2024-10-09,theft,rain,False,4461.46,4,False,0,0
23,46,2022-11-03,side_collision,rain,False,6564.72,3,True,0,0
24,46,2023-11-14,theft,clear,False,361.39,4,False,1,0
25,50,2023-09-29,single_vehicle,rain,False,3247.05,8,False,0,0
26,52,2025-02-04,theft,clear,False,2911.78,6,True,0,0
27,63,2025-11-09,weather_related,rain,False,2090.88,1,True,0,0
28,64,2026-02-24,rear_end,clear,True,6234.35,7,True,0,0
29,66,2025-12-17,side_collision,storm,False,3067.24,16,False,0,0
30,67,2025-12-19,single_vehicle,clear,False,4405.54,9,True,0,1
31,67,2026-01-16,weather_related,rain,False,3387.86,15,True,1,0
32,69,2024-10-06,theft,snow,False,3227.21,18,True,0,0
33,70,2024-04-13,weather_related,clear,False,3397.4,12,False,0,1
34,72,2022-07-15,rear_end,rain,False,3034.07,1,True,0,0
35,72,2022-05-06,side_collision,snow,False,2383.25,3,True,1,0
36,74,2024-08-18,weather_related,clear,False,2569.96,12,True,0,0
37,74,2024-10-20,single_vehicle,clear,False,1246.75,5,True,1,0
38,75,2026-02-19,weather_related,rain,False,817.31,4,False,0,0
