customer_id,age,gender,region,city_density,income_level,driving_experience_years,bonus_malus,marital_status,number_of_children
1,42,Female,Region_8,urban,Medium,23,1.0893555098777359,Single,1
2,29,Male,Region_2,suburban,Medium,11,1.0696344138996308,Married,3
3,52,Male,Region_2,suburban,Low,32,0.97759832361142,Married,0
4,27,Female,Region_5,suburban,Low,9,0.8965703906133983,Single,1
5,45,Female,Region_3,suburban,Medium,27,0.9934973944761589,Single,0
6,18,Female,Region_4,urban,High,0,1.0844436255857028,Married,2
7,26,Female,Region_1,rural,Low,6,0.8785911154836158,Married,0
8,44,Female,Region_10,urban,High,26,0.8801970235168515,Married,1
9,51,Female,Region_1,rural,Low,33,1.3111167654271674,Married,1
10,44,Male,Region_1,rural,Medium,26,0.8858285077576931,Married,1
11,41,Female,Region_6,urban,Medium,23,0.9292630384468294,Married,1
12,38,Male,Region_1,suburban,Medium,20,1.1614767668511523,Married,2
13,24,Male,Region_1,urban,Medium,4,0.907986183590669,Single,2
14,33,Male,Region_1,suburban,Medium,15,0.8967162809575975,Married,1
15,36,Male,Region_1,rural,Medium,18,1.0936895521874492,Married,2
16,55,Female,Region_2,urban,High,37,0.8145999434737019,Married,1
17,46,Male,Region_2,urban,High,28,0.9483714815998365,Married,1
18,21,Male,Region_4,suburban,Low,3,1.0863593329022803,Single,0
19,46,Male,Region_3,suburban,Medium,27,1.151418664454418,Married,0
20,37,Male,Region_4,rural,Medium,19,1.050741086069093,Married,1
21,34,Female,Region_5,suburban,Medium,16,1.0468003000438462,Married,1
22,49,Male,Region_2,rural,Medium,30,1.0154208330684253,Married,0
23,54,Male,Region_1,urban,Medium,33,1.1306027625922381,Married,0
24,53,Male,Region_8,suburban,Medium,35,1.1302142559758193,Married,2
25,32,Male,Region_5,urban,Medium,14,1.0439092986621608,Married,0
26,38,Female,Region_1,suburban,High,17,1.0176838113330593,Married,0
27,46,Male,Region_10,urban,High,28,0.9029197002726449,Married,2
28,54,Male,Region_6,urban,Medium,36,0.9216494205162014,Married,1
29,36,Male,Region_1,rural,Low,18,0.8081795498723474,Married,1
30,40,Male,Region_10,urban,High,22,0.9800718430289433,Married,2
31,29,Female,Region_3,urban,Medium,8,0.8876019617286688,Married,0
32,28,Male,Region_10,urban,Medium,10,0.9194967246291816,Married,1
33,52,Female,Region_1,rural,Low,32,1.1191284171430815,Married,1
34,58,Female,Region_1,urban,Low,40,1.0870600161289803,Married,0
35,41,Male,Region_6,suburban,Low,23,0.9368252912423748,Single,1
36,54,Female,Region_1,suburban,Medium,36,0.9601658737286701,Divorced,2
37,46,Female,Region_1,rural,High,28,1.2223211031119734,Married,0
38,34,Female,Region_7,suburban,Medium,13,0.9156859158555776,Divorced,2
39,46,Male,Region_1,rural,Medium,25,1.070076936664657,Divorced,0
40,60,Female,Region_9,suburban,Medium,42,1.1546169161147555,Married,2
41,42,Male,Region_3,urban,Medium,23,1.0232388982971237,Married,0
