policy_id,customer_id,policy_start_date,policy_duration_months,vehicle_type,vehicle_power,vehicle_age,annual_mileage,coverage_type,deductible_amount,annual_premium
1,1,2026-02-07,24,SUV,157.7,4,17928,premium,223.0,1670.58
2,2,2024-11-22,36,city_car,81.6,3,15670,full,618.0,1514.7
3,2,2023-03-23,24,SUV,153.7,3,12080,basic,1096.0,1447.65
4,3,2025-04-16,12,SUV,136.7,11,7727,basic,989.0,1192.11
5,3,2022-02-08,12,sedan,99.3,7,18691,full,681.0,1241.57
6,4,2022-09-02,24,SUV,181.4,4,8200,basic,972.0,1434.15
7,4,2024-09-02,12,city_car,83.9,3,7383,full,300.0,1395.13
8,5,2025-02-19,12,sedan,126.8,6,11867,full,584.0,1480.7
9,6,2022-01-13,12,sedan,87.4,5,7880,full,528.0,1314.36
10,6,2024-12-17,12,electric,137.1,15,18585,premium,218.0,1512.87
11,7,2021-08-17,12,sedan,131.1,2,16901,full,606.0,1629.45
12,7,2023-10-01,36,city_car,81.3,6,9357,full,674.0,1287.12
13,8,2023-11-18,12,city_car,92.9,2,15244,premium,354.0,1255.55
14,8,2023-08-14,24,SUV,157.7,3,12770,full,561.0,1763.11
15,9,2024-01-29,24,city_car,69.4,5,19231,full,864.0,1450.91
16,10,2025-12-02,12,sedan,123.2,6,15858,basic,776.0,1404.33
17,11,2024-03-04,12,sedan,151.7,6,12221,full,514.0,1595.17
18,11,2023-03-23,12,city_car,94.0,15,16970,basic,957.0,1248.84
19,12,2025-07-20,24,city_car,85.8,4,13385,basic,965.0,1204.02
20,13,2023-01-04,36,SUV,184.0,6,14458,full,597.0,1691.93
21,14,2021-03-30,24,electric,149.5,4,7634,full,691.0,1628.57
22,14,2021-11-30,12,SUV,187.8,8,13255,basic,1108.0,1634.8
23,15,2022-02-08,12,electric,141.3,4,13154,full,398.0,1860.69
24,16,2023-08-07,12,city_car,82.5,2,14467,premium,412.0,1159.14
25,17,2022-07-11,36,SUV,176.6,6,17068,premium,434.0,1709.83
26,17,2024-10-09,12,city_car,73.4,4,6427,full,681.0,1258.68
27,18,2023-12-10,12,sedan,127.3,8,17763,basic,975.0,1501.5
28,18,2025-03-16,12,city_car,70.2,2,17397,full,828.0,1279.73
29,19,2024-07-22,12,SUV,179.6,4,17709,basic,814.0,1649.44
30,19,2025-05-01,36,SUV,156.9,3,12692,basic,968.0,1435.41
31,20,2024-01-14,36,SUV,156.3,6,11777,basic,620.0,1483.3
32,21,2025-03-20,12,sports_car,291.9,5,12916,full,611.0,2479.87
33,22,2022-11-19,12,city_car,75.2,2,17015,full,460.0,1064.67
34,22,2023-09-05,24,city_car,93.9,4,17140,basic,938.0,1208.11
35,23,2025-08-06,12,SUV,117.0,1,14173,premium,280.0,1336.68
36,23,2026-01-11,12,city_car,93.4,2,9055,basic,1065.0,1342.58
37,24,2022-07-10,12,city_car,97.8,6,8515,basic,1042.0,1193.42
38,24,2024-03-28,12,sedan,133.5,6,11493,full,881.0,1607.21
39,25,2024-01-19,12,sedan,118.4,5,12057,full,543.0,1492.64
40,25,2024-12-24,24,city_car,88.7,5,10482,basic,1014.0,1333.51
41,26,2023-01-30,12,city_car,95.0,3,18033,basic,761.0,1146.32
42,26,2022-05-28,24,sedan,81.0,8,10688,full,483.0,1331.92
43,27,2024-06-27,12,sedan,146.5,5,5000,full,719.0,1729.73
44,28,2025-08-06,36,city_car,64.4,6,21457,full,820.0,1138.55
45,28,2025-07-24,12,SUV,144.6,6,12787,basic,1011.0,1352.93
46,29,2022-05-23,24,SUV,143.6,4,14275,basic,988.0,1361.1
47,29,2021-06-10,12,SUV,196.6,4,7269,basic,1012.0,1627.65
48,30,2022-12-08,12,city_car,100.6,9,11263,premium,346.0,1267.11
49,31,2021-07-25,12,electric,143.6,7,7608,full,754.0,1656.78
50,32,2023-01-14,12,electric,143.7,4,11616,basic,782.0,1274.37
51,33,2021-12-31,12,SUV,159.0,5,7986,basic,815.0,1406.3
52,33,2025-01-06,12,city_car,83.2,4,10147,basic,773.0,1158.0
53,34,2024-09-23,12,electric,148.3,7,13085,basic,939.0,1311.11
54,34,2021-05-16,24,sedan,132.5,6,18462,full,338.0,1372.61
55,35,2024-05-29,12,city_car,80.3,5,14029,basic,952.0,1187.58
56,36,2023-04-19,24,sedan,131.6,3,16298,basic,861.0,1507.98
57,37,2023-07-25,24,sedan,118.4,9,10621,full,953.0,1591.98
58,38,2022-12-21,12,sedan,108.9,9,15045,basic,590.0,1265.66
59,39,2022-03-17,12,city_car,86.7,9,12452,full,505.0,1251.37
60,39,2025-06-20,36,SUV,171.5,11,14825,full,409.0,1844.8
61,40,2021-08-11,36,city_car,93.2,3,15642,basic,965.0,1130.03
62,40,2022-12-04,12,city_car,64.1,2,10799,full,300.0,1118.09
63,41,2025-06-03,36,SUV,156.8,10,14691,full,739.0,1619.02
64,41,2025-10-17,12,sedan,121.9,2,10526,basic,833.0,1316.49
65,42,2022-06-02,12,city_car,96.7,7,17594,full,618.0,1236.42
66,42,2025-11-15,24,SUV,164.0,8,16796,basic,1054.0,1624.2
